ImageNumber,ObjectNumber,AreaShape_Area,AreaShape_Center_X,AreaShape_Center_Y,AreaShape_Compactness,AreaShape_Eccentricity,AreaShape_EulerNumber,AreaShape_Extent,AreaShape_FormFactor,AreaShape_MajorAxisLength,AreaShape_MaxFeretDiameter,AreaShape_MaximumRadius,AreaShape_MeanRadius,AreaShape_MedianRadius,AreaShape_MinFeretDiameter,AreaShape_MinorAxisLength,AreaShape_Orientation,AreaShape_Perimeter,AreaShape_Solidity,Correlation_Correlation_DNA_DUTP,Location_Center_X,Location_Center_Y,Number_Object_Number
1,135,142,520,810,5.814335228,0.995727007,1,0.577235772,0.228439162,45.64703278,40.11234224,2.236067978,1.384607546,1,4.036771873,4.215306757,2.531815355,88.382,0.782369146,-0.149477211,529.4014085,810.5422535,135
1,48,138,533,317,5.812535501,0.99594776,1,0.673170732,0.222356336,45.0036378,40.04996879,2,1.384572955,1,3.614951356,4.0473408,2.174637657,88.312,0.849230769,-0.049392147,544.8115942,317.5289855,48
1,13,10,553,58,1.011592834,0.676523346,1,0.833333333,0.92493409,4.183533356,3.16227766,1.414213562,1.082842712,1,2,3.080842595,90,11.656,1,0.030184249,553.2,58.5,13
1,55,45,583,359,1.23767546,0.863635257,1,0.9,0.843121035,10.72155453,9.219544457,3,1.567772811,1.414213562,4,5.404919962,1.712888138,25.898,0.947368421,-0.158854279,581.5777778,358.9555556,55
1,74,90,586,461,3.082268697,0.98567239,1,0.9375,0.384397881,26.25038601,23.08679276,2,1.436029341,1,3,4.42768144,0.491544518,54.242,0.967741935,0.028274946,583.7444444,460.5333333,74
1,109,16,588,671,1.395922517,0.907074718,1,0.761904762,0.690021788,7.047903269,6.08276253,2,1.114276695,1,2,2.966953447,3.474327184,17.07,0.888888889,-0.269487588,587.8125,670.8125,109
1,44,613,601,308,14.95528856,0.999129415,1,0.434751773,0.086740181,152.3753042,140.1748908,4,1.751809461,2,7.432982629,6.356829437,2.280310154,298.006,0.766729206,0.208242461,588.6264274,308.1566069,44
1,147,85,616,885,2.299750691,0.972168764,1,0.85,0.520238305,21.77958588,19.23538406,3,1.5552948,1.414213562,4,5.102557479,3.683802457,45.312,0.934065934,-0.034273875,611.6705882,884.8352941,147
1,31,31,627,239,4.116940593,0.993238515,1,0.96875,0.340423015,17.96700323,15.03329638,1,1,1,1,2.085817648,0.361088731,33.828,1,-0.394378356,624.2580645,238.516129,31
1,141,392,633,846,2.542597962,0.977953927,1,0.774703557,0.450021529,49.30221955,45.27692569,5.385164807,2.583352061,2.236067978,10,10.29532775,1.356367842,104.624,0.907407407,0.292232348,631.2908163,846.0153061,141
1,68,1602,587,430,11.53898366,0.998810226,1,0.510841837,0.116400009,216.2627984,195.0410213,6,2.576318289,2.236067978,11.69350541,10.54629516,1.885382755,415.872,0.740638003,0.433752032,640.159176,431.7047441,68
1,124,85,652,769,3.312774603,0.986441697,1,0.708333333,0.364411679,26.46587463,23.08679276,2,1.380161276,1,3.875653449,4.34336995,2.190246905,54.14,0.841584158,-0.029695755,652.6352941,769.2941176,124
1,45,18,662,311,1.40165022,0.908763033,1,0.857142857,0.679731609,7.493180104,6.08276253,2,1.15713484,1,2,3.126997973,2.600012919,18.242,0.923076923,0.216719265,662.1111111,310.8333333,45
1,84,1,663,521,0,0,1,1,0.785398163,0.095,0,1,1,1,0,0.095,0,4,1,0,663,521,84
1,17,63,666,127,1.103119953,0.738036583,1,0.65625,0.703172395,11.10918788,11.18033989,3.605551275,1.761509617,1.414213562,7,7.496043384,3.149498507,33.554,0.868965517,0.638953433,666.5873016,126.5555556,17
1,111,26,665,688,2.376928716,0.97385079,1,0.722222222,0.397879969,12.31317764,11.04536102,2,1.108785659,1,2,2.797412999,3.123392817,28.656,0.962962963,0.440819617,666.7307692,688.2307692,111
