    al	    xc	    yc	    do	     h	    xl	    yl	    lo	counter
 42.72	1467.57	822.59	137.00	 22.00	994.62	794.68	 32.00	  2.00
 42.72	1467.57	822.59	137.00	 23.00	999.66	784.92	 31.00	  3.00
 42.72	1467.57	822.59	137.00	 24.00	1012.53	794.93	 33.00	  4.00
 42.72	1467.57	822.59	137.00	 26.00	1095.53	834.30	 35.00	  5.00
 42.72	1467.57	822.59	137.00	 30.00	1449.50	821.50	 34.00	  6.00

  9.35	1468.90	782.55	126.00	 22.00	994.62	794.68	 32.00	  1.00
  9.35	1468.90	782.55	126.00	 23.00	999.66	784.92	 31.00	  2.00
  9.35	1468.90	782.55	126.00	 24.00	1012.53	794.93	 33.00	  3.00

  7.16	1470.09	854.43	142.00	  6.00	307.85	881.00	 37.00	  1.00
  7.16	1470.09	854.43	142.00	 13.00	630.69	845.69	 36.00	  2.00
  7.16	1470.09	854.43	142.00	 26.00	1095.53	834.30	 35.00	  3.00
  7.16	1470.09	854.43	142.00	 30.00	1449.50	821.50	 34.00	  4.00
  7.16	1470.09	854.43	142.00	 31.00	1453.56	893.14	 38.00	  5.00

 14.58	1496.33	706.04	114.00	 28.00	1341.00	690.50	 30.00	  1.00


175.40	1503.10	591.83	 97.00	  2.00	141.43	589.46	 22.00	  1.00
175.40	1503.10	591.83	 97.00	  3.00	166.30	581.05	 20.00	  2.00
175.40	1503.10	591.83	 97.00	 32.00	1457.00	587.20	 23.00	  3.00
175.40	1503.10	591.83	 97.00	 33.00	1473.65	589.92	 24.00	  4.00
175.40	1503.10	591.83	 97.00	 34.00	1481.00	589.80	 25.00	  5.00
175.40	1503.10	591.83	 97.00	 35.00	1516.00	591.00	 26.00	  6.00
175.40	1503.10	591.83	 97.00	 36.00	1538.68	591.61	 27.00	  7.00
175.40	1503.10	591.83	 97.00	 37.00	1633.71	608.50	 28.00	  8.00
175.40	1503.10	591.83	 97.00	 38.00	1702.54	584.54	 21.00	  9.00

 49.18	1503.23	783.87	127.00	 22.00	994.62	794.68	 32.00	  1.00
 49.18	1503.23	783.87	127.00	 23.00	999.66	784.92	 31.00	  2.00
 49.18	1503.23	783.87	127.00	 24.00	1012.53	794.93	 33.00	  3.00
 49.18	1503.23	783.87	127.00	 30.00	1449.50	821.50	 34.00	  4.00

 97.54	1516.51	855.98	143.00	  6.00	307.85	881.00	 37.00	  1.00
 97.54	1516.51	855.98	143.00	 13.00	630.69	845.69	 36.00	  2.00
 97.54	1516.51	855.98	143.00	 26.00	1095.53	834.30	 35.00	  3.00
 97.54	1516.51	855.98	143.00	 30.00	1449.50	821.50	 34.00	  4.00
 97.54	1516.51	855.98	143.00	 31.00	1453.56	893.14	 38.00	  5.00

 39.48	1522.46	707.56	115.00	 28.00	1341.00	690.50	 30.00	  1.00


 10.39	1569.33	815.17	136.00	 13.00	630.69	845.69	 36.00	  1.00
 10.39	1569.33	815.17	136.00	 22.00	994.62	794.68	 32.00	  2.00
 10.39	1569.33	815.17	136.00	 23.00	999.66	784.92	 31.00	  3.00
 10.39	1569.33	815.17	136.00	 24.00	1012.53	794.93	 33.00	  4.00
 10.39	1569.33	815.17	136.00	 26.00	1095.53	834.30	 35.00	  5.00
 10.39	1569.33	815.17	136.00	 30.00	1449.50	821.50	 34.00	  6.00

  6.74	1590.26	337.48	 52.00	  8.00	491.75	336.75	  9.00	  1.00
  6.74	1590.26	337.48	 52.00	 40.00	1767.43	329.62	  8.00	  2.00

  9.57	1592.00	697.74	113.00	 28.00	1341.00	690.50	 30.00	  1.00

  6.49	1599.73	663.45	107.00	 20.00	770.50	633.50	 29.00	  1.00
  6.49	1599.73	663.45	107.00	 28.00	1341.00	690.50	 30.00	  2.00

 16.59	1633.40	824.13	138.00	 13.00	630.69	845.69	 36.00	  1.00
 16.59	1633.40	824.13	138.00	 22.00	994.62	794.68	 32.00	  2.00
 16.59	1633.40	824.13	138.00	 23.00	999.66	784.92	 31.00	  3.00
 16.59	1633.40	824.13	138.00	 24.00	1012.53	794.93	 33.00	  4.00
 16.59	1633.40	824.13	138.00	 26.00	1095.53	834.30	 35.00	  5.00
 16.59	1633.40	824.13	138.00	 30.00	1449.50	821.50	 34.00	  6.00

  6.08	1634.50	608.50	100.00	  2.00	141.43	589.46	 22.00	  1.00
  6.08	1634.50	608.50	100.00	  3.00	166.30	581.05	 20.00	  2.00
  6.08	1634.50	608.50	100.00	 32.00	1457.00	587.20	 23.00	  3.00
  6.08	1634.50	608.50	100.00	 33.00	1473.65	589.92	 24.00	  4.00
  6.08	1634.50	608.50	100.00	 34.00	1481.00	589.80	 25.00	  5.00
  6.08	1634.50	608.50	100.00	 35.00	1516.00	591.00	 26.00	  6.00
  6.08	1634.50	608.50	100.00	 36.00	1538.68	591.61	 27.00	  7.00
  6.08	1634.50	608.50	100.00	 37.00	1633.71	608.50	 28.00	  8.00
  6.08	1634.50	608.50	100.00	 38.00	1702.54	584.54	 21.00	  9.00

 10.85	1659.96	897.08	151.00	  5.00	270.50	907.00	 40.00	  1.00
 10.85	1659.96	897.08	151.00	  6.00	307.85	881.00	 37.00	  2.00
 10.85	1659.96	897.08	151.00	 13.00	630.69	845.69	 36.00	  3.00
 10.85	1659.96	897.08	151.00	 25.00	1095.11	897.32	 39.00	  4.00
 10.85	1659.96	897.08	151.00	 31.00	1453.56	893.14	 38.00	  5.00

  8.58	1671.62	652.86	105.00	 20.00	770.50	633.50	 29.00	  1.00

 10.77	1674.53	794.58	132.00	 22.00	994.62	794.68	 32.00	  1.00
 10.77	1674.53	794.58	132.00	 23.00	999.66	784.92	 31.00	  2.00
 10.77	1674.53	794.58	132.00	 24.00	1012.53	794.93	 33.00	  3.00
 10.77	1674.53	794.58	132.00	 30.00	1449.50	821.50	 34.00	  4.00


 16.21	1705.78	584.65	 96.00	  2.00	141.43	589.46	 22.00	  1.00
 16.21	1705.78	584.65	 96.00	  3.00	166.30	581.05	 20.00	  2.00
 16.21	1705.78	584.65	 96.00	 32.00	1457.00	587.20	 23.00	  3.00
 16.21	1705.78	584.65	 96.00	 33.00	1473.65	589.92	 24.00	  4.00
 16.21	1705.78	584.65	 96.00	 34.00	1481.00	589.80	 25.00	  5.00
 16.21	1705.78	584.65	 96.00	 35.00	1516.00	591.00	 26.00	  6.00
 16.21	1705.78	584.65	 96.00	 36.00	1538.68	591.61	 27.00	  7.00
 16.21	1705.78	584.65	 96.00	 37.00	1633.71	608.50	 28.00	  8.00
 16.21	1705.78	584.65	 96.00	 38.00	1702.54	584.54	 21.00	  9.00

  8.28	1719.71	443.29	 72.00	  9.00	585.49	430.19	 13.00	  1.00
  8.28	1719.71	443.29	 72.00	 11.00	607.94	430.42	 14.00	  2.00
  8.28	1719.71	443.29	 72.00	 12.00	616.90	430.55	 15.00	  3.00
  8.28	1719.71	443.29	 72.00	 14.00	656.56	432.75	 16.00	  4.00
  8.28	1719.71	443.29	 72.00	 16.00	707.44	434.88	 17.00	  5.00
  8.28	1719.71	443.29	 72.00	 17.00	718.21	433.93	 18.00	  6.00

  3.97	1744.67	134.11	 18.00	 15.00	664.50	127.00	  4.00	  1.00

 14.00	1752.83	762.03	123.00	 23.00	999.66	784.92	 31.00	  1.00

 11.42	1754.43	519.96	 83.00	  7.00	419.00	506.00	 19.00	  1.00

 30.68	1761.76	799.78	133.00	 22.00	994.62	794.68	 32.00	  1.00
 30.68	1761.76	799.78	133.00	 23.00	999.66	784.92	 31.00	  2.00
 30.68	1761.76	799.78	133.00	 24.00	1012.53	794.93	 33.00	  3.00
 30.68	1761.76	799.78	133.00	 30.00	1449.50	821.50	 34.00	  4.00

  8.73	1765.47	782.89	128.00	 22.00	994.62	794.68	 32.00	  1.00
  8.73	1765.47	782.89	128.00	 23.00	999.66	784.92	 31.00	  2.00
  8.73	1765.47	782.89	128.00	 24.00	1012.53	794.93	 33.00	  3.00




 37.12	1781.71	330.21	 50.00	  1.00	 66.72	306.17	  6.00	  1.00
 37.12	1781.71	330.21	 50.00	 10.00	599.50	308.44	  7.00	  2.00
 37.12	1781.71	330.21	 50.00	 40.00	1767.43	329.62	  8.00	  3.00

 43.56	1783.44	760.87	122.00	 23.00	999.66	784.92	 31.00	  1.00


