    al	    xc	    yc	    do	     h	    xl	    yl	    lo	counter
  7.98	153.63	580.69	 95.00	 33.00	1473.65	589.92	 24.00	  4.00
  7.98	153.63	580.69	 95.00	 34.00	1481.00	589.80	 25.00	  5.00
  7.98	153.63	580.69	 95.00	 35.00	1516.00	591.00	 26.00	  6.00
  7.98	153.63	580.69	 95.00	 36.00	1538.68	591.61	 27.00	  7.00
  7.98	153.63	580.69	 95.00	 37.00	1633.71	608.50	 28.00	  8.00
  7.98	153.63	580.69	 95.00	 38.00	1702.54	584.54	 21.00	  9.00

 12.73	163.64	608.84	 99.00	  2.00	141.43	589.46	 22.00	  1.00
 12.73	163.64	608.84	 99.00	  3.00	166.30	581.05	 20.00	  2.00
 12.73	163.64	608.84	 99.00	 20.00	770.50	633.50	 29.00	  3.00
 12.73	163.64	608.84	 99.00	 36.00	1538.68	591.61	 27.00	  4.00
 12.73	163.64	608.84	 99.00	 37.00	1633.71	608.50	 28.00	  5.00

 10.66	180.62	387.33	 60.00	 18.00	727.81	389.75	 11.00	  1.00
 10.66	180.62	387.33	 60.00	 19.00	734.26	388.56	 10.00	  2.00
 10.66	180.62	387.33	 60.00	 21.00	781.89	390.28	 12.00	  3.00

 95.74	195.82	905.21	153.00	  5.00	270.50	907.00	 40.00	  1.00
 95.74	195.82	905.21	153.00	  6.00	307.85	881.00	 37.00	  2.00
 95.74	195.82	905.21	153.00	 25.00	1095.11	897.32	 39.00	  3.00
 95.74	195.82	905.21	153.00	 31.00	1453.56	893.14	 38.00	  4.00


  6.91	224.50	637.50	102.00	 20.00	770.50	633.50	 29.00	  1.00


  0.10	240.00	906.00	156.00	  5.00	270.50	907.00	 40.00	  1.00
  0.10	240.00	906.00	156.00	  6.00	307.85	881.00	 37.00	  2.00
  0.10	240.00	906.00	156.00	 25.00	1095.11	897.32	 39.00	  3.00
  0.10	240.00	906.00	156.00	 31.00	1453.56	893.14	 38.00	  4.00


  7.13	247.38	906.19	155.00	  5.00	270.50	907.00	 40.00	  1.00
  7.13	247.38	906.19	155.00	  6.00	307.85	881.00	 37.00	  2.00
  7.13	247.38	906.19	155.00	 25.00	1095.11	897.32	 39.00	  3.00
  7.13	247.38	906.19	155.00	 31.00	1453.56	893.14	 38.00	  4.00

  3.19	253.60	790.80	131.00	 22.00	994.62	794.68	 32.00	  1.00
  3.19	253.60	790.80	131.00	 23.00	999.66	784.92	 31.00	  2.00
  3.19	253.60	790.80	131.00	 24.00	1012.53	794.93	 33.00	  3.00
  3.19	253.60	790.80	131.00	 26.00	1095.53	834.30	 35.00	  4.00
  3.19	253.60	790.80	131.00	 30.00	1449.50	821.50	 34.00	  5.00


 38.23	278.35	907.44	154.00	  5.00	270.50	907.00	 40.00	  1.00
 38.23	278.35	907.44	154.00	  6.00	307.85	881.00	 37.00	  2.00
 38.23	278.35	907.44	154.00	 25.00	1095.11	897.32	 39.00	  3.00
 38.23	278.35	907.44	154.00	 31.00	1453.56	893.14	 38.00	  4.00

 30.66	283.55	426.67	 67.00	  9.00	585.49	430.19	 13.00	  1.00
 30.66	283.55	426.67	 67.00	 11.00	607.94	430.42	 14.00	  2.00
 30.66	283.55	426.67	 67.00	 12.00	616.90	430.55	 15.00	  3.00
 30.66	283.55	426.67	 67.00	 14.00	656.56	432.75	 16.00	  4.00
 30.66	283.55	426.67	 67.00	 16.00	707.44	434.88	 17.00	  5.00
 30.66	283.55	426.67	 67.00	 17.00	718.21	433.93	 18.00	  6.00

 25.14	308.25	385.67	 57.00	 18.00	727.81	389.75	 11.00	  1.00
 25.14	308.25	385.67	 57.00	 19.00	734.26	388.56	 10.00	  2.00
 25.14	308.25	385.67	 57.00	 21.00	781.89	390.28	 12.00	  3.00

 16.70	311.56	303.38	 41.00	  1.00	 66.72	306.17	  6.00	  1.00
 16.70	311.56	303.38	 41.00	 10.00	599.50	308.44	  7.00	  2.00
 16.70	311.56	303.38	 41.00	 40.00	1767.43	329.62	  8.00	  3.00

 22.54	313.69	881.39	145.00	  5.00	270.50	907.00	 40.00	  1.00
 22.54	313.69	881.39	145.00	  6.00	307.85	881.00	 37.00	  2.00
 22.54	313.69	881.39	145.00	 13.00	630.69	845.69	 36.00	  3.00
 22.54	313.69	881.39	145.00	 25.00	1095.11	897.32	 39.00	  4.00
 22.54	313.69	881.39	145.00	 31.00	1453.56	893.14	 38.00	  5.00

  2.09	317.50	413.00	 63.00	  9.00	585.49	430.19	 13.00	  1.00
  2.09	317.50	413.00	 63.00	 11.00	607.94	430.42	 14.00	  2.00
  2.09	317.50	413.00	 63.00	 12.00	616.90	430.55	 15.00	  3.00
  2.09	317.50	413.00	 63.00	 14.00	656.56	432.75	 16.00	  4.00
